,stand,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
881,R,0,0,1,0,6,190630_184653,2458.0,1,0,1,Standard,Standard,0,0_0,fb:1_sb:0_tb:0
93,L,0,0,0,1,1,190924_230841,2583.0,3,0,0,Infield shift,Standard,1,2_0,fb:0_sb:0_tb:0
2715,R,0,0,0,2,4,190328_180351,2545.0,1,1,0,Standard,Strategic,1,0_0,fb:0_sb:0_tb:0
199,L,0,0,0,1,1,190918_173125,2346.0,6,0,0,Infield shift,Standard,0,1_2,fb:0_sb:0_tb:0
441,R,0,0,0,1,4,190904_000607,1223.0,2,4,1,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
253,R,0,0,0,0,4,190914_000332,2867.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
2415,R,0,0,0,2,4,190414_183649,2324.0,2,3,3,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
675,L,0,0,0,2,4,190725_212046,2392.0,2,3,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
540,L,0,1,0,2,3,190828_235903,1611.0,5,0,5,Standard,Standard,1,2_2,fb:0_sb:1_tb:0
1986,R,0,0,0,0,4,190507_010747,2494.0,2,2,2,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
2070,L,0,1,1,2,6,190502_005154,2497.0,4,3,1,Standard,Standard,1,1_2,fb:1_sb:1_tb:0
550,R,0,0,0,1,3,190828_235356,2442.0,6,0,5,Standard,Strategic,1,2_2,fb:0_sb:0_tb:0
348,L,0,0,1,2,3,190908_182155,2458.0,2,1,4,Standard,Standard,0,0_1,fb:1_sb:0_tb:0
2401,R,0,0,0,0,6,190414_190042,2472.0,2,3,3,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
1258,L,0,0,0,0,2,190614_232329,2552.0,3,0,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
2396,L,0,0,0,1,6,190414_190252,1478.0,3,3,3,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
1308,R,0,0,1,1,5,190609_033624,1520.0,3,0,4,Standard,Standard,0,1_1,fb:1_sb:0_tb:0
1970,L,0,0,0,0,5,190507_012436,2709.0,5,2,2,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
1307,R,0,0,1,1,5,190609_033653,2496.0,4,0,4,Standard,Standard,0,1_2,fb:1_sb:0_tb:0
1855,L,0,0,1,2,5,190512_024443,2521.0,2,2,0,Standard,Standard,0,1_0,fb:1_sb:0_tb:0
2564,L,0,0,0,0,1,190407_171736,2454.0,1,0,0,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
1413,L,0,0,0,0,6,190602_190605,2552.0,7,1,2,Infield shift,Standard,0,3_2,fb:0_sb:0_tb:0
992,R,0,0,0,0,6,190626_005102,,1,1,6,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
