,pitch_type,game_date,batter,release_speed,zone,stand,home_team,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
74,SL,2019-09-24,596748,85.7,14.0,R,WSH,0,0,0,0,2,190924_233222,2428.0,1,3,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
75,CH,2019-09-24,656514,85.4,7.0,L,WSH,0,0,0,2,1,190924_231708,1613.0,5,3,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
76,FC,2019-09-24,656514,90.7,14.0,L,WSH,0,0,0,2,1,190924_231646,2386.0,4,3,0,Infield shift,Standard,1,0_2,fb:0_sb:0_tb:0
77,FF,2019-09-24,656514,95.0,3.0,L,WSH,0,0,0,2,1,190924_231623,2498.0,3,3,0,Infield shift,Standard,1,0_2,fb:0_sb:0_tb:0
78,CH,2019-09-24,656514,85.3,13.0,L,WSH,0,0,0,2,1,190924_231605,1696.0,2,3,0,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
79,FF,2019-09-24,656514,95.0,2.0,L,WSH,0,0,0,2,1,190924_231549,2461.0,1,3,0,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
80,SL,2019-09-24,664068,85.3,8.0,R,WSH,0,0,0,1,1,190924_231518,2386.0,3,3,0,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
81,SL,2019-09-24,664068,85.9,5.0,R,WSH,0,0,0,1,1,190924_231456,2411.0,2,3,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
82,SL,2019-09-24,664068,86.2,9.0,R,WSH,0,0,0,1,1,190924_231436,2308.0,1,3,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
83,FF,2019-09-24,543543,95.9,9.0,L,WSH,0,1,1,1,1,190924_231354,2502.0,2,0,0,Infield shift,Standard,1,0_1,fb:1_sb:1_tb:0
84,FF,2019-09-24,543543,95.5,5.0,L,WSH,0,1,1,1,1,190924_231321,2518.0,1,0,0,Infield shift,Standard,1,0_0,fb:1_sb:1_tb:0
85,SL,2019-09-24,516416,84.1,14.0,R,WSH,0,0,1,1,1,190924_231228,2457.0,4,0,0,Standard,Standard,1,0_2,fb:1_sb:0_tb:0
86,FF,2019-09-24,516416,95.6,6.0,R,WSH,0,0,1,1,1,190924_231206,2470.0,3,0,0,Standard,Standard,1,0_2,fb:1_sb:0_tb:0
87,FF,2019-09-24,516416,94.9,7.0,R,WSH,0,0,1,1,1,190924_231135,2537.0,2,0,0,Standard,Standard,1,0_1,fb:1_sb:0_tb:0
88,SL,2019-09-24,516416,85.0,14.0,R,WSH,0,0,1,1,1,190924_231109,2288.0,1,0,0,Standard,Standard,1,0_0,fb:1_sb:0_tb:0
89,FF,2019-09-24,489149,97.1,14.0,L,WSH,0,0,0,1,1,190924_231034,2581.0,7,0,0,Infield shift,Standard,1,3_2,fb:0_sb:0_tb:0
90,FF,2019-09-24,489149,96.7,4.0,L,WSH,0,0,0,1,1,190924_231007,2503.0,6,0,0,Infield shift,Standard,1,3_2,fb:0_sb:0_tb:0
91,CH,2019-09-24,489149,85.5,8.0,L,WSH,0,0,0,1,1,190924_230938,1483.0,5,0,0,Infield shift,Standard,1,3_1,fb:0_sb:0_tb:0
92,FC,2019-09-24,489149,91.5,12.0,L,WSH,0,0,0,1,1,190924_230914,2415.0,4,0,0,Infield shift,Standard,1,2_1,fb:0_sb:0_tb:0
93,FF,2019-09-24,489149,95.8,6.0,L,WSH,0,0,0,1,1,190924_230841,2583.0,3,0,0,Infield shift,Standard,1,2_0,fb:0_sb:0_tb:0
94,FF,2019-09-24,489149,94.8,11.0,L,WSH,0,0,0,1,1,190924_230819,2553.0,2,0,0,Infield shift,Standard,1,1_0,fb:0_sb:0_tb:0
95,FF,2019-09-24,489149,95.1,12.0,L,WSH,0,0,0,1,1,190924_230801,2510.0,1,0,0,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
96,CH,2019-09-24,514917,85.0,7.0,L,WSH,0,0,0,0,1,190924_230722,1333.0,5,0,0,Standard,Strategic,1,2_2,fb:0_sb:0_tb:0
97,FF,2019-09-24,514917,94.9,9.0,L,WSH,0,0,0,0,1,190924_230700,2550.0,4,0,0,Standard,Standard,1,2_1,fb:0_sb:0_tb:0
98,CU,2019-09-24,514917,80.1,7.0,L,WSH,0,0,0,0,1,190924_230641,2892.0,3,0,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
