Pitch,MPH,EV (MPH),Pitcher,Batter,Dist,Spin Rate,LA (°),Zone,Date,Count,Inning,Pitch Result,PA Result
SL,85.0,71.4,Max Scherzer,Yadier Molina,109,2309,10.4,6,2019-09-18,0-1,Bot 5,foul_bunt,
CH,82.0,,Max Scherzer,Yadier Molina,,1314,,13,2019-09-18,0-0,Bot 5,foul_bunt,
FF,94.4,105.9,Max Scherzer,Matt Carpenter,350,2409,22.2,4,2019-09-18,3-1,Bot 5,hit_into_play_no_out,Matt Carpenter doubles (19) on a sharp line drive to right fielder Adam Eaton.
CH,83.9,,Max Scherzer,Matt Carpenter,,1427,,13,2019-09-18,2-1,Bot 5,ball,
FF,94.5,,Max Scherzer,Matt Carpenter,,2399,,11,2019-09-18,1-1,Bot 5,ball,
CU,79.9,,Max Scherzer,Matt Carpenter,,2822,,13,2019-09-18,0-1,Bot 5,ball,
CU,77.2,,Max Scherzer,Matt Carpenter,,2692,,4,2019-09-18,0-0,Bot 5,called_strike,
SL,86.7,,Max Scherzer,Marcell Ozuna,,2402,,14,2019-09-18,3-2,Bot 4,swinging_strike,Marcell Ozuna strikes out swinging.
CU,80.5,92.0,Max Scherzer,Marcell Ozuna,305,2759,22.9,8,2019-09-18,3-2,Bot 4,foul,
FF,97.6,,Max Scherzer,Marcell Ozuna,,2528,,11,2019-09-18,3-2,Bot 4,foul,
SL,85.0,79.7,Max Scherzer,Marcell Ozuna,209,2281,18.1,8,2019-09-18,3-1,Bot 4,foul,
FF,95.3,,Max Scherzer,Marcell Ozuna,,2314,,5,2019-09-18,3-0,Bot 4,called_strike,
FF,95.8,,Max Scherzer,Marcell Ozuna,,2435,,14,2019-09-18,2-0,Bot 4,ball,
FF,94.8,,Max Scherzer,Marcell Ozuna,,2358,,11,2019-09-18,1-0,Bot 4,ball,
FF,94.1,,Max Scherzer,Marcell Ozuna,,2361,,14,2019-09-18,0-0,Bot 4,ball,
SL,85.8,94.6,Max Scherzer,Paul Goldschmidt,335,2328,39.5,5,2019-09-18,1-0,Bot 4,hit_into_play,Paul Goldschmidt flies out to center fielder Victor Robles.
FF,94.0,,Max Scherzer,Paul Goldschmidt,,2369,,6,2019-09-18,0-0,Bot 4,ball,
CH,84.8,,Max Scherzer,Kolten Wong,,1334,,13,2019-09-18,0-2,Bot 4,swinging_strike_blocked,Kolten Wong strikes out swinging.
FF,92.7,,Max Scherzer,Kolten Wong,,2339,,11,2019-09-18,0-1,Bot 4,foul,
CH,83.0,,Max Scherzer,Kolten Wong,,1425,,1,2019-09-18,0-0,Bot 4,called_strike,
CH,84.4,,Max Scherzer,Dexter Fowler,,1426,,13,2019-09-18,0-2,Bot 3,swinging_strike,Dexter Fowler strikes out swinging.
CU,78.8,,Max Scherzer,Dexter Fowler,,2672,,13,2019-09-18,0-1,Bot 3,called_strike,
CU,78.1,,Max Scherzer,Dexter Fowler,,2638,,5,2019-09-18,0-0,Bot 3,called_strike,
FF,95.2,90.5,Max Scherzer,Adam Wainwright,297,2520,17.9,8,2019-09-18,2-2,Bot 3,hit_into_play,Adam Wainwright lines out to left fielder Juan Soto.
SL,86.3,,Max Scherzer,Adam Wainwright,,2339,,1,2019-09-18,1-2,Bot 3,ball,
SL,84.7,,Max Scherzer,Adam Wainwright,,2350,,4,2019-09-18,1-1,Bot 3,called_strike,
SL,86.2,,Max Scherzer,Adam Wainwright,,2215,,11,2019-09-18,1-0,Bot 3,called_strike,
FF,95.6,,Max Scherzer,Adam Wainwright,,2353,,13,2019-09-18,0-0,Bot 3,ball,
FC,90.8,98.3,Max Scherzer,Tommy Edman,383,2466,28.1,14,2019-09-18,1-2,Bot 3,hit_into_play_score,Tommy Edman homers (10) on a fly ball to right field.
FF,95.7,83.7,Max Scherzer,Tommy Edman,215,2377,60.6,5,2019-09-18,1-2,Bot 3,foul,
FC,89.7,,Max Scherzer,Tommy Edman,,2467,,9,2019-09-18,1-2,Bot 3,foul,
FF,95.0,,Max Scherzer,Tommy Edman,,2440,,7,2019-09-18,1-1,Bot 3,called_strike,
FF,95.1,,Max Scherzer,Tommy Edman,,2426,,12,2019-09-18,0-1,Bot 3,ball,
CU,79.3,,Max Scherzer,Tommy Edman,,2612,,8,2019-09-18,0-0,Bot 3,called_strike,
CH,86.8,,Max Scherzer,Paul DeJong,,1477,,13,2019-09-18,1-2,Bot 3,swinging_strike,Paul DeJong strikes out swinging.
CH,83.2,,Max Scherzer,Paul DeJong,,1323,,13,2019-09-18,0-2,Bot 3,ball,
FF,95.7,76.5,Max Scherzer,Paul DeJong,205,2470,25.1,1,2019-09-18,0-2,Bot 3,foul,
FF,94.8,,Max Scherzer,Paul DeJong,,2499,,6,2019-09-18,0-1,Bot 3,foul_tip,
SL,85.4,64.9,Max Scherzer,Paul DeJong,5,2336,-25.0,6,2019-09-18,0-0,Bot 3,foul,
CU,79.6,,Max Scherzer,Yadier Molina,,2656,,8,2019-09-18,1-2,Bot 2,swinging_strike,Yadier Molina strikes out swinging.
FF,94.6,82.2,Max Scherzer,Yadier Molina,155,2357,10.2,6,2019-09-18,1-1,Bot 2,foul,
FF,94.4,,Max Scherzer,Yadier Molina,,2378,,12,2019-09-18,0-1,Bot 2,ball,
SL,85.7,,Max Scherzer,Yadier Molina,,2219,,4,2019-09-18,0-0,Bot 2,swinging_strike,
FF,96.3,82.9,Max Scherzer,Matt Carpenter,,2482,-20.7,4,2019-09-18,1-2,Bot 2,hit_into_play,"Matt Carpenter grounds out, second baseman Asdrubal Cabrera to first baseman Howie Kendrick."
FC,89.6,,Max Scherzer,Matt Carpenter,,2384,,13,2019-09-18,0-2,Bot 2,ball,
CH,85.3,,Max Scherzer,Matt Carpenter,,1705,,14,2019-09-18,0-1,Bot 2,swinging_strike,
FF,92.6,,Max Scherzer,Matt Carpenter,,2302,,9,2019-09-18,0-0,Bot 2,called_strike,
SL,86.2,77.5,Max Scherzer,Marcell Ozuna,87,2490,5.9,9,2019-09-18,2-0,Bot 2,hit_into_play,"Marcell Ozuna grounds out, shortstop Trea Turner to first baseman Howie Kendrick."
SL,85.7,,Max Scherzer,Marcell Ozuna,,2354,,14,2019-09-18,1-0,Bot 2,ball,
FF,92.7,,Max Scherzer,Marcell Ozuna,,2352,,14,2019-09-18,0-0,Bot 2,ball,
FF,97.1,,Max Scherzer,Paul Goldschmidt,,2217,,5,2019-09-18,0-2,Bot 1,foul_tip,Paul Goldschmidt strikes out on a foul tip.
SL,85.7,,Max Scherzer,Paul Goldschmidt,,2296,,8,2019-09-18,0-1,Bot 1,swinging_strike,
SL,85.0,,Max Scherzer,Paul Goldschmidt,,2263,,11,2019-09-18,0-0,Bot 1,called_strike,
FF,95.6,66.0,Max Scherzer,Kolten Wong,89,2346,9.5,6,2019-09-18,1-2,Bot 1,hit_into_play,"Kolten Wong grounds out, shortstop Trea Turner to first baseman Howie Kendrick."
FC,90.1,,Max Scherzer,Kolten Wong,,2344,,13,2019-09-18,1-2,Bot 1,foul,
FF,95.5,74.8,Max Scherzer,Kolten Wong,167,2282,20.8,4,2019-09-18,1-2,Bot 1,foul,
FF,95.4,,Max Scherzer,Kolten Wong,,2265,,1,2019-09-18,1-1,Bot 1,swinging_strike,
CU,81.3,,Max Scherzer,Kolten Wong,,2686,,11,2019-09-18,0-1,Bot 1,ball,
FF,94.5,,Max Scherzer,Kolten Wong,,2270,,11,2019-09-18,0-0,Bot 1,called_strike,
FF,95.7,,Max Scherzer,Dexter Fowler,,2459,,11,2019-09-18,2-2,Bot 1,swinging_strike,Dexter Fowler strikes out swinging.
CH,84.6,,Max Scherzer,Dexter Fowler,,1534,,13,2019-09-18,1-2,Bot 1,ball,
FF,94.7,,Max Scherzer,Dexter Fowler,,2419,,13,2019-09-18,1-1,Bot 1,called_strike,
FF,95.0,,Max Scherzer,Dexter Fowler,,2350,,11,2019-09-18,0-1,Bot 1,ball,
FF,94.6,,Max Scherzer,Dexter Fowler,,2509,,1,2019-09-18,0-0,Bot 1,called_strike,
FC,89.1,,Max Scherzer,Matt Joyce,,2323,,13,2019-09-13,1-2,Top 5,called_strike,Matt Joyce called out on strikes.
FF,93.8,,Max Scherzer,Matt Joyce,,2303,,11,2019-09-13,1-1,Top 5,foul,
CH,83.3,,Max Scherzer,Matt Joyce,,1479,,13,2019-09-13,0-1,Top 5,ball,
CH,85.1,,Max Scherzer,Matt Joyce,,1506,,7,2019-09-13,0-0,Top 5,called_strike,
FF,94.0,100.9,Max Scherzer,Nick Markakis,384,2272,23.9,4,2019-09-13,0-2,Top 5,hit_into_play_score,Nick Markakis out on a sacrifice fly to center fielder Victor Robles. Ronald Acuna scores. Charlie Culberson to 3rd.
CH,83.6,,Max Scherzer,Nick Markakis,,1444,,13,2019-09-13,0-1,Top 5,called_strike,
FC,89.4,100.2,Max Scherzer,Nick Markakis,13,2450,-10.5,14,2019-09-13,0-0,Top 5,foul,
CH,85.8,,Max Scherzer,Josh Donaldson,,1458,,13,2019-09-13,3-2,Top 5,ball,Josh Donaldson walks. Charlie Culberson to 2nd.
FF,94.4,,Max Scherzer,Josh Donaldson,,2501,,3,2019-09-13,3-2,Top 5,foul,
FF,95.0,,Max Scherzer,Josh Donaldson,,2436,,6,2019-09-13,3-1,Top 5,swinging_strike,
FF,93.7,,Max Scherzer,Josh Donaldson,,2421,,11,2019-09-13,2-1,Top 5,ball,
